cell,ix,iz,x_mm,z_mm,total_weight,num_slots,mean_E_MeV,mean_theta_rad,min_E_MeV,max_E_MeV,min_theta_rad,max_theta_rad
243,43,2,43.500000,2.500000,0.004989,13,149.274994,0.009783,147.875000,151.625000,-0.029167,0.048611
244,44,2,44.500000,2.500000,0.044899,53,149.175003,0.009442,147.125000,151.875000,-0.029167,0.048611
245,45,2,45.500000,2.500000,0.107757,67,149.094940,0.009531,146.875000,152.375000,-0.029167,0.048611
246,46,2,46.500000,2.500000,0.118732,59,149.116592,0.009848,147.125000,151.625000,-0.029167,0.048611
247,47,2,47.500000,2.500000,0.089797,63,149.127792,0.009710,146.625000,151.875000,-0.029167,0.048611
248,48,2,48.500000,2.500000,0.063856,60,149.195343,0.009466,147.125000,151.875000,-0.029167,0.048611
249,49,2,49.500000,2.500000,0.072836,57,149.083893,0.009884,146.875000,151.375000,-0.029167,0.048611
250,50,2,50.500000,2.500000,0.061860,51,149.133072,0.009626,146.375000,151.375000,-0.029167,0.048611
251,51,2,51.500000,2.500000,0.080818,61,149.118774,0.009793,146.875000,151.875000,-0.029167,0.048611
252,52,2,52.500000,2.500000,0.069842,46,149.099991,0.009663,146.625000,151.375000,-0.029167,0.048611
253,53,2,53.500000,2.500000,0.113743,67,149.168884,0.009540,146.125000,151.125000,-0.029167,0.048611
254,54,2,54.500000,2.500000,0.099775,59,149.117462,0.009496,146.625000,151.625000,-0.029167,0.048611
255,55,2,55.500000,2.500000,0.061860,55,149.145111,0.009722,145.375000,151.375000,-0.029167,0.048611
256,56,2,56.500000,2.500000,0.006984,20,148.982162,0.009516,146.625000,150.625000,-0.029167,0.029167
