iter,channel,value
0,EdepC,0
0,AbsorbedWeight_cutoff,0
0,AbsorbedEnergy_cutoff,0
0,AbsorbedWeight_nuclear,0
0,AbsorbedEnergy_nuclear,0
0,BoundaryLoss_weight,0
0,BoundaryLoss_energy,0
0,transport_dropped_weight,0
0,transport_dropped_energy,0
0,transport_audit_residual_energy,0
1,EdepC,135.077
1,AbsorbedWeight_cutoff,0.816522
1,AbsorbedEnergy_cutoff,0.00597982
1,AbsorbedWeight_nuclear,0.17774
1,AbsorbedEnergy_nuclear,17.4453
1,BoundaryLoss_weight,0
1,BoundaryLoss_energy,0
1,transport_dropped_weight,2.31949e-09
1,transport_dropped_energy,2.39269e-07
1,transport_audit_residual_energy,-2.40091
1,source_injected_weight,0.999991
1,source_out_of_grid_weight,0
1,source_slot_dropped_weight,0
1,source_injected_energy,150.002
1,source_out_of_grid_energy,0
1,source_slot_dropped_energy,0
1,source_representation_loss_energy,-0.126641
