iter,cell,ix,iz,slot,bid,lidx,weight,b_theta,b_E,theta_local,E_local,x_sub,z_sub,theta_bin,E_bin,theta_rep,E_rep,x_offset_mm,z_offset_mm
5,543,43,5,0,1265668,36,0.00000017,4,309,0,1,4,0,16,619,-0.02916668,147.62500000,0.06250000,-0.37500000
5,543,43,5,0,1265668,37,0.00001004,4,309,1,1,4,0,17,619,-0.00972225,147.62500000,0.06250000,-0.37500000
5,543,43,5,0,1265668,38,0.00093492,4,309,2,1,4,0,18,619,0.00972220,147.62500000,0.06250000,-0.37500000
5,543,43,5,0,1265668,39,0.00004842,4,309,3,1,4,0,19,619,0.02916665,147.62500000,0.06250000,-0.37500000
5,543,43,5,1,1265669,36,0.00000082,5,309,0,1,4,0,20,619,0.04861109,147.62500000,0.06250000,-0.37500000
5,543,43,5,2,1286148,38,0.00095881,4,314,2,1,4,0,18,629,0.00972220,150.12500000,0.06250000,-0.37500000
5,543,43,5,2,1286148,39,0.00003540,4,314,3,1,4,0,19,629,0.02916665,150.12500000,0.06250000,-0.37500000
5,543,43,5,3,1286149,36,0.00000017,5,314,0,1,4,0,20,629,0.04861109,150.12500000,0.06250000,-0.37500000
5,543,43,5,3,1286149,37,0.00000000,5,314,1,1,4,0,21,629,0.06805554,150.12500000,0.06250000,-0.37500000
5,543,43,5,3,1286149,38,0.00000000,5,314,2,1,4,0,22,629,0.08749999,150.12500000,0.06250000,-0.37500000
5,543,43,5,4,1269764,32,0.00000001,4,310,0,0,4,0,16,620,-0.02916668,147.87500000,0.06250000,-0.37500000
5,543,43,5,4,1269764,33,0.00001119,4,310,1,0,4,0,17,620,-0.00972225,147.87500000,0.06250000,-0.37500000
5,543,43,5,4,1269764,34,0.00097913,4,310,2,0,4,0,18,620,0.00972220,147.87500000,0.06250000,-0.37500000
5,543,43,5,4,1269764,35,0.00000398,4,310,3,0,4,0,19,620,0.02916665,147.87500000,0.06250000,-0.37500000
5,543,43,5,5,1269765,32,0.00000007,5,310,0,0,4,0,20,620,0.04861109,147.87500000,0.06250000,-0.37500000
5,543,43,5,6,1261572,34,0.00092313,4,308,2,0,4,0,18,616,0.00972220,146.87500000,0.06250000,-0.37500000
5,543,43,5,6,1261572,35,0.00007124,4,308,3,0,4,0,19,616,0.02916665,146.87500000,0.06250000,-0.37500000
5,543,43,5,7,1257476,32,0.00000052,4,307,0,0,4,0,16,614,-0.02916668,146.37500000,0.06250000,-0.37500000
5,543,43,5,7,1257476,33,0.00002281,4,307,1,0,4,0,17,614,-0.00972225,146.37500000,0.06250000,-0.37500000
5,543,43,5,7,1257476,34,0.00096550,4,307,2,0,4,0,18,614,0.00972220,146.37500000,0.06250000,-0.37500000
5,543,43,5,7,1257476,35,0.00000550,4,307,3,0,4,0,19,614,0.02916665,146.37500000,0.06250000,-0.37500000
5,543,43,5,8,1257475,35,0.00000000,3,307,3,0,4,0,15,614,-0.04861112,146.37500000,0.06250000,-0.37500000
5,543,43,5,9,1257477,32,0.00000003,5,307,0,0,4,0,20,614,0.04861109,146.37500000,0.06250000,-0.37500000
5,544,44,5,0,1277956,32,0.00000425,4,312,0,0,4,0,16,624,-0.02916668,148.87500000,0.06250000,-0.37500000
5,544,44,5,0,1277956,33,0.00032150,4,312,1,0,4,0,17,624,-0.00972225,148.87500000,0.06250000,-0.37500000
5,544,44,5,0,1277956,34,0.00265702,4,312,2,0,4,0,18,624,0.00972220,148.87500000,0.06250000,-0.37500000
5,544,44,5,0,1277956,35,0.00000037,4,312,3,0,4,0,19,624,0.02916665,148.87500000,0.06250000,-0.37500000
5,544,44,5,0,1277956,36,0.00000026,4,312,0,1,4,0,16,625,-0.02916668,149.12500000,0.06250000,-0.37500000
5,544,44,5,0,1277956,37,0.00006282,4,312,1,1,4,0,17,625,-0.00972225,149.12500000,0.06250000,-0.37500000
