iter,channel,value
0,EdepC,0
0,AbsorbedWeight_cutoff,0
0,AbsorbedEnergy_cutoff,0
0,AbsorbedWeight_nuclear,0
0,AbsorbedEnergy_nuclear,0
0,BoundaryLoss_weight,0
0,BoundaryLoss_energy,0
0,transport_dropped_weight,0
0,transport_dropped_energy,0
0,transport_audit_residual_energy,0
1,EdepC,0.272186
1,AbsorbedWeight_cutoff,0
1,AbsorbedEnergy_cutoff,0
1,AbsorbedWeight_nuclear,0.000563264
1,AbsorbedEnergy_nuclear,0.08456
1,BoundaryLoss_weight,0
1,BoundaryLoss_energy,0
1,transport_dropped_weight,0
1,transport_dropped_energy,0
1,transport_audit_residual_energy,-0.0223271
1,source_injected_weight,1
1,source_out_of_grid_weight,0
1,source_slot_dropped_weight,0
1,source_injected_energy,150
1,source_out_of_grid_energy,0
1,source_slot_dropped_energy,0
1,source_representation_loss_energy,-0.125
