cell,ix,iz,x_mm,z_mm,total_weight,num_slots,mean_E_MeV,mean_theta_rad,min_E_MeV,max_E_MeV,min_theta_rad,max_theta_rad
98,18,1,9.250000,0.750000,0.000250,2,149.875000,0.010078,149.875000,149.875000,0.009722,0.029167
100,20,1,10.250000,0.750000,0.000250,2,149.875000,0.009723,149.875000,149.875000,0.009722,0.029167
101,21,1,10.750000,0.750000,0.000500,2,149.875000,0.009661,149.875000,149.875000,-0.009722,0.009722
102,22,1,11.250000,0.750000,0.000250,2,149.875000,0.009680,149.875000,149.875000,-0.009722,0.009722
103,23,1,11.750000,0.750000,0.001249,3,149.875000,0.009669,149.875000,149.875000,-0.009722,0.029167
104,24,1,12.250000,0.750000,0.001249,3,149.875000,0.009654,149.875000,149.875000,-0.009722,0.029167
105,25,1,12.750000,0.750000,0.002499,2,149.875000,0.009904,149.875000,149.875000,0.009722,0.029167
106,26,1,13.250000,0.750000,0.003748,3,149.875000,0.009661,149.875000,149.875000,-0.009722,0.029167
107,27,1,13.750000,0.750000,0.005997,3,149.875000,0.009739,149.875000,149.875000,-0.009722,0.029167
108,28,1,14.250000,0.750000,0.006747,3,149.875015,0.009723,149.875000,149.875000,-0.009722,0.029167
109,29,1,14.750000,0.750000,0.005497,3,149.875000,0.009752,149.875000,149.875000,-0.009722,0.029167
110,30,1,15.250000,0.750000,0.020240,3,149.875000,0.009748,149.875000,149.875000,-0.009722,0.029167
111,31,1,15.750000,0.750000,0.022239,3,149.875000,0.009735,149.875000,149.875000,-0.009722,0.029167
112,32,1,16.250000,0.750000,0.042979,3,149.875000,0.009681,149.875000,149.875000,-0.009722,0.029167
113,33,1,16.750000,0.750000,0.030985,3,149.875000,0.009733,149.875000,149.875000,-0.009722,0.029167
114,34,1,17.250000,0.750000,0.058471,3,149.874985,0.009744,149.875000,149.875000,-0.009722,0.029167
115,35,1,17.750000,0.750000,0.061720,3,149.875000,0.009748,149.875000,149.875000,-0.009722,0.029167
116,36,1,18.250000,0.750000,0.050475,3,149.875000,0.009770,149.875000,149.875000,-0.009722,0.029167
117,37,1,18.750000,0.750000,0.064718,3,149.874985,0.009741,149.875000,149.875000,-0.009722,0.029167
118,38,1,19.250000,0.750000,0.059471,3,149.875000,0.009714,149.875000,149.875000,-0.009722,0.029167
119,39,1,19.750000,0.750000,0.060220,3,149.875015,0.009751,149.875000,149.875000,-0.009722,0.029167
120,40,1,20.250000,0.750000,0.061720,3,149.875000,0.009561,149.875000,149.875000,-0.009722,0.029167
121,41,1,20.750000,0.750000,0.056972,3,149.875000,0.009762,149.875000,149.875000,-0.009722,0.029167
122,42,1,21.250000,0.750000,0.058471,3,149.875031,0.009760,149.875000,149.875000,-0.009722,0.029167
123,43,1,21.750000,0.750000,0.063968,3,149.875000,0.009701,149.875000,149.875000,-0.009722,0.029167
124,44,1,22.250000,0.750000,0.060970,3,149.875000,0.009909,149.875000,149.875000,-0.009722,0.029167
125,45,1,22.750000,0.750000,0.046227,3,149.875000,0.009661,149.875000,149.875000,-0.009722,0.029167
126,46,1,23.250000,0.750000,0.049226,3,149.875000,0.009749,149.875000,149.875000,-0.009722,0.029167
127,47,1,23.750000,0.750000,0.026487,3,149.875000,0.009734,149.875000,149.875000,-0.009722,0.029167
128,48,1,24.250000,0.750000,0.028486,3,149.875000,0.009708,149.875000,149.875000,-0.009722,0.029167
129,49,1,24.750000,0.750000,0.011994,3,149.875000,0.009845,149.875000,149.875000,-0.009722,0.029167
130,50,1,25.250000,0.750000,0.017241,3,149.874985,0.009680,149.875000,149.875000,-0.009722,0.029167
131,51,1,25.750000,0.750000,0.004498,3,149.874985,0.009766,149.875000,149.875000,-0.009722,0.029167
132,52,1,26.250000,0.750000,0.003998,3,149.875000,0.009710,149.875000,149.875000,-0.009722,0.029167
133,53,1,26.750000,0.750000,0.002999,3,149.875000,0.009742,149.875000,149.875000,-0.009722,0.029167
134,54,1,27.250000,0.750000,0.002749,3,149.875015,0.009622,149.875000,149.875000,-0.009722,0.029167
135,55,1,27.750000,0.750000,0.001499,3,149.875000,0.009723,149.875000,149.875000,-0.009722,0.029167
136,56,1,28.250000,0.750000,0.001000,3,149.875015,0.009496,149.875000,149.875000,-0.009722,0.029167
137,57,1,28.750000,0.750000,0.000500,3,149.875000,0.009809,149.875000,149.875000,-0.009722,0.029167
138,58,1,29.250000,0.750000,0.000500,3,149.875015,0.009885,149.875000,149.875000,-0.009722,0.029167
139,59,1,29.750000,0.750000,0.000250,2,149.875000,0.009905,149.875000,149.875000,0.009722,0.029167
