cell,ix,iz,x_mm,z_mm,total_weight,num_slots,mean_E_MeV,mean_theta_rad,min_E_MeV,max_E_MeV,min_theta_rad,max_theta_rad
98,18,1,9.250000,0.750000,0.000250,2,149.875015,0.000500,149.875000,149.875000,-0.000972,0.000972
100,20,1,10.250000,0.750000,0.000250,2,149.875000,-0.000894,149.875000,149.875000,-0.000972,0.000972
101,21,1,10.750000,0.750000,0.000500,2,149.875000,0.001131,149.875000,149.875000,0.000972,0.002917
102,22,1,11.250000,0.750000,0.000250,2,149.875000,-0.000537,149.875000,149.875000,-0.000972,0.000972
103,23,1,11.750000,0.750000,0.001249,3,149.875000,0.000839,149.875000,149.875000,-0.000972,0.002917
104,24,1,12.250000,0.750000,0.001249,4,149.874985,0.001336,149.875000,149.875000,-0.000972,0.004861
105,25,1,12.750000,0.750000,0.002499,4,149.874985,0.001504,149.875000,149.875000,-0.000972,0.004861
106,26,1,13.250000,0.750000,0.003748,5,149.875000,0.001186,149.875000,149.875000,-0.002917,0.004861
107,27,1,13.750000,0.750000,0.005997,4,149.875015,0.001286,149.875000,149.875000,-0.000972,0.004861
108,28,1,14.250000,0.750000,0.006747,3,149.875000,0.001286,149.875000,149.875000,-0.000972,0.002917
109,29,1,14.750000,0.750000,0.005497,4,149.874985,0.000841,149.875000,149.875000,-0.000972,0.004861
110,30,1,15.250000,0.750000,0.020240,3,149.875015,0.000471,149.875000,149.875000,-0.000972,0.002917
111,31,1,15.750000,0.750000,0.022239,5,149.875000,0.000853,149.875000,149.875000,-0.002917,0.004861
112,32,1,16.250000,0.750000,0.042979,4,149.875000,0.001456,149.875000,149.875000,-0.000972,0.004861
113,33,1,16.750000,0.750000,0.030985,5,149.875000,0.000834,149.875000,149.875000,-0.002917,0.004861
114,34,1,17.250000,0.750000,0.058471,3,149.875015,0.001403,149.875000,149.875000,-0.000972,0.002917
115,35,1,17.750000,0.750000,0.061720,5,149.875015,0.000530,149.875000,149.875000,-0.002917,0.004861
116,36,1,18.250000,0.750000,0.050475,3,149.875000,0.001309,149.875000,149.875000,-0.000972,0.002917
117,37,1,18.750000,0.750000,0.064718,4,149.875000,0.001143,149.875000,149.875000,-0.000972,0.004861
118,38,1,19.250000,0.750000,0.059471,5,149.875000,0.001171,149.875000,149.875000,-0.002917,0.004861
119,39,1,19.750000,0.750000,0.060220,4,149.874985,0.000495,149.875000,149.875000,-0.002917,0.002917
120,40,1,20.250000,0.750000,0.061720,3,149.875000,0.001196,149.875000,149.875000,-0.000972,0.002917
121,41,1,20.750000,0.750000,0.056972,4,149.875015,0.000598,149.875000,149.875000,-0.002917,0.002917
122,42,1,21.250000,0.750000,0.058471,4,149.875000,0.001371,149.875000,149.875000,-0.000972,0.004861
123,43,1,21.750000,0.750000,0.063968,5,149.874985,0.001409,149.875000,149.875000,-0.002917,0.004861
124,44,1,22.250000,0.750000,0.060970,4,149.875000,0.001761,149.875000,149.875000,-0.000972,0.004861
125,45,1,22.750000,0.750000,0.046227,4,149.875000,0.001210,149.875000,149.875000,-0.000972,0.004861
126,46,1,23.250000,0.750000,0.049226,4,149.875000,0.000669,149.875000,149.875000,-0.002917,0.002917
127,47,1,23.750000,0.750000,0.026487,4,149.875000,0.001194,149.875000,149.875000,-0.000972,0.004861
128,48,1,24.250000,0.750000,0.028486,4,149.875000,0.001331,149.875000,149.875000,-0.002917,0.002917
129,49,1,24.750000,0.750000,0.011994,3,149.874985,0.000516,149.875000,149.875000,-0.000972,0.002917
130,50,1,25.250000,0.750000,0.017241,3,149.875015,0.000856,149.875000,149.875000,-0.000972,0.002917
131,51,1,25.750000,0.750000,0.004498,4,149.875000,0.001436,149.875000,149.875000,-0.000972,0.004861
132,52,1,26.250000,0.750000,0.003998,4,149.875000,0.001128,149.875000,149.875000,-0.000972,0.004861
133,53,1,26.750000,0.750000,0.002999,4,149.874985,0.000354,149.875000,149.875000,-0.002917,0.002917
134,54,1,27.250000,0.750000,0.002749,3,149.875000,0.002002,149.875000,149.875000,-0.000972,0.002917
135,55,1,27.750000,0.750000,0.001499,3,149.875000,0.002015,149.875000,149.875000,0.000972,0.004861
136,56,1,28.250000,0.750000,0.001000,3,149.875000,0.000991,149.875000,149.875000,-0.000972,0.002917
137,57,1,28.750000,0.750000,0.000500,3,149.875000,0.001115,149.875000,149.875000,-0.000972,0.002917
138,58,1,29.250000,0.750000,0.000500,3,149.875000,0.000947,149.875000,149.875000,-0.000972,0.002917
139,59,1,29.750000,0.750000,0.000250,2,149.875000,0.002687,149.875000,149.875000,0.000972,0.002917
