iter,cell,ix,iz,slot,bid,lidx,weight,b_theta,b_E,theta_local,E_local,x_sub,z_sub,theta_bin,E_bin,theta_rep,E_rep,x_offset_mm,z_offset_mm
0,18,18,0,0,1286189,52,0.000250,45,314,0,1,6,0,180,629,0.000972,150.125000,0.156250,-0.187500
0,20,20,0,0,1286189,52,0.000250,45,314,0,1,6,0,180,629,0.000972,150.125000,0.156250,-0.187500
0,21,21,0,0,1286189,4,0.000250,45,314,0,1,0,0,180,629,0.000972,150.125000,-0.218750,-0.187500
0,21,21,0,0,1286189,52,0.000250,45,314,0,1,6,0,180,629,0.000972,150.125000,0.156250,-0.187500
0,22,22,0,0,1286189,36,0.000250,45,314,0,1,4,0,180,629,0.000972,150.125000,0.031250,-0.187500
0,23,23,0,0,1286189,4,0.000500,45,314,0,1,0,0,180,629,0.000972,150.125000,-0.218750,-0.187500
0,23,23,0,0,1286189,20,0.000250,45,314,0,1,2,0,180,629,0.000972,150.125000,-0.093750,-0.187500
0,23,23,0,0,1286189,36,0.000250,45,314,0,1,4,0,180,629,0.000972,150.125000,0.031250,-0.187500
0,23,23,0,0,1286189,60,0.000250,45,314,0,1,7,0,180,629,0.000972,150.125000,0.218750,-0.187500
0,24,24,0,0,1286189,20,0.000250,45,314,0,1,2,0,180,629,0.000972,150.125000,-0.093750,-0.187500
0,24,24,0,0,1286189,28,0.000500,45,314,0,1,3,0,180,629,0.000972,150.125000,-0.031250,-0.187500
0,24,24,0,0,1286189,36,0.000250,45,314,0,1,4,0,180,629,0.000972,150.125000,0.031250,-0.187500
0,24,24,0,0,1286189,52,0.000250,45,314,0,1,6,0,180,629,0.000972,150.125000,0.156250,-0.187500
0,25,25,0,0,1286189,4,0.000500,45,314,0,1,0,0,180,629,0.000972,150.125000,-0.218750,-0.187500
0,25,25,0,0,1286189,12,0.000250,45,314,0,1,1,0,180,629,0.000972,150.125000,-0.156250,-0.187500
0,25,25,0,0,1286189,20,0.000250,45,314,0,1,2,0,180,629,0.000972,150.125000,-0.093750,-0.187500
0,25,25,0,0,1286189,36,0.000500,45,314,0,1,4,0,180,629,0.000972,150.125000,0.031250,-0.187500
0,25,25,0,0,1286189,44,0.000250,45,314,0,1,5,0,180,629,0.000972,150.125000,0.093750,-0.187500
0,25,25,0,0,1286189,52,0.000500,45,314,0,1,6,0,180,629,0.000972,150.125000,0.156250,-0.187500
0,25,25,0,0,1286189,60,0.000250,45,314,0,1,7,0,180,629,0.000972,150.125000,0.218750,-0.187500
0,26,26,0,0,1286189,4,0.000250,45,314,0,1,0,0,180,629,0.000972,150.125000,-0.218750,-0.187500
0,26,26,0,0,1286189,12,0.000750,45,314,0,1,1,0,180,629,0.000972,150.125000,-0.156250,-0.187500
0,26,26,0,0,1286189,20,0.000250,45,314,0,1,2,0,180,629,0.000972,150.125000,-0.093750,-0.187500
0,26,26,0,0,1286189,28,0.000250,45,314,0,1,3,0,180,629,0.000972,150.125000,-0.031250,-0.187500
0,26,26,0,0,1286189,36,0.000500,45,314,0,1,4,0,180,629,0.000972,150.125000,0.031250,-0.187500
0,26,26,0,0,1286189,44,0.000750,45,314,0,1,5,0,180,629,0.000972,150.125000,0.093750,-0.187500
0,26,26,0,0,1286189,52,0.000250,45,314,0,1,6,0,180,629,0.000972,150.125000,0.156250,-0.187500
0,26,26,0,0,1286189,60,0.000750,45,314,0,1,7,0,180,629,0.000972,150.125000,0.218750,-0.187500
0,27,27,0,0,1286189,4,0.000750,45,314,0,1,0,0,180,629,0.000972,150.125000,-0.218750,-0.187500
0,27,27,0,0,1286189,12,0.000500,45,314,0,1,1,0,180,629,0.000972,150.125000,-0.156250,-0.187500
0,27,27,0,0,1286189,20,0.000750,45,314,0,1,2,0,180,629,0.000972,150.125000,-0.093750,-0.187500
0,27,27,0,0,1286189,28,0.001000,45,314,0,1,3,0,180,629,0.000972,150.125000,-0.031250,-0.187500
0,27,27,0,0,1286189,36,0.000750,45,314,0,1,4,0,180,629,0.000972,150.125000,0.031250,-0.187500
0,27,27,0,0,1286189,44,0.000750,45,314,0,1,5,0,180,629,0.000972,150.125000,0.093750,-0.187500
0,27,27,0,0,1286189,52,0.000750,45,314,0,1,6,0,180,629,0.000972,150.125000,0.156250,-0.187500
0,27,27,0,0,1286189,60,0.000750,45,314,0,1,7,0,180,629,0.000972,150.125000,0.218750,-0.187500
0,28,28,0,0,1286189,4,0.001000,45,314,0,1,0,0,180,629,0.000972,150.125000,-0.218750,-0.187500
0,28,28,0,0,1286189,12,0.000750,45,314,0,1,1,0,180,629,0.000972,150.125000,-0.156250,-0.187500
0,28,28,0,0,1286189,20,0.000500,45,314,0,1,2,0,180,629,0.000972,150.125000,-0.093750,-0.187500
0,28,28,0,0,1286189,28,0.001000,45,314,0,1,3,0,180,629,0.000972,150.125000,-0.031250,-0.187500
0,28,28,0,0,1286189,36,0.000750,45,314,0,1,4,0,180,629,0.000972,150.125000,0.031250,-0.187500
0,28,28,0,0,1286189,44,0.001000,45,314,0,1,5,0,180,629,0.000972,150.125000,0.093750,-0.187500
0,28,28,0,0,1286189,52,0.000750,45,314,0,1,6,0,180,629,0.000972,150.125000,0.156250,-0.187500
0,28,28,0,0,1286189,60,0.001000,45,314,0,1,7,0,180,629,0.000972,150.125000,0.218750,-0.187500
0,29,29,0,0,1286189,4,0.000250,45,314,0,1,0,0,180,629,0.000972,150.125000,-0.218750,-0.187500
0,29,29,0,0,1286189,12,0.000750,45,314,0,1,1,0,180,629,0.000972,150.125000,-0.156250,-0.187500
0,29,29,0,0,1286189,20,0.001000,45,314,0,1,2,0,180,629,0.000972,150.125000,-0.093750,-0.187500
0,29,29,0,0,1286189,28,0.000500,45,314,0,1,3,0,180,629,0.000972,150.125000,-0.031250,-0.187500
0,29,29,0,0,1286189,36,0.001250,45,314,0,1,4,0,180,629,0.000972,150.125000,0.031250,-0.187500
0,29,29,0,0,1286189,44,0.000500,45,314,0,1,5,0,180,629,0.000972,150.125000,0.093750,-0.187500
0,29,29,0,0,1286189,52,0.000750,45,314,0,1,6,0,180,629,0.000972,150.125000,0.156250,-0.187500
