iter,cell,ix,iz,slot,bid,lidx,weight,b_theta,b_E,theta_local,E_local,x_sub,z_sub,theta_bin,E_bin,theta_rep,E_rep,x_offset_mm,z_offset_mm
1,98,18,1,0,1286189,32,0.00018914,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,98,18,1,1,1286188,35,0.00006074,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,100,20,1,0,1286188,35,0.00023979,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,100,20,1,1,1286189,32,0.00001009,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,101,21,1,0,1286189,32,0.00045888,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,101,21,1,0,1286189,33,0.00004087,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,102,22,1,0,1286188,35,0.00019395,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,102,22,1,1,1286189,32,0.00005592,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,103,23,1,0,1286189,32,0.00116350,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,103,23,1,0,1286189,33,0.00000006,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,103,23,1,1,1286188,35,0.00008582,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,104,24,1,0,1286189,32,0.00052438,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,104,24,1,0,1286189,33,0.00039461,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,104,24,1,0,1286189,34,0.00005640,45,314,2,0,4,0,182,628,0.00486110,149.87500000,0.03125000,-0.18750000
1,104,24,1,1,1286188,35,0.00027399,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,105,25,1,0,1286189,32,0.00196001,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,105,25,1,0,1286189,33,0.00031449,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,105,25,1,0,1286189,34,0.00019773,45,314,2,0,4,0,182,628,0.00486110,149.87500000,0.03125000,-0.18750000
1,105,25,1,1,1286188,35,0.00002653,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,106,26,1,0,1286189,32,0.00085883,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,106,26,1,0,1286189,33,0.00165491,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,106,26,1,0,1286189,34,0.00002082,45,314,2,0,4,0,182,628,0.00486110,149.87500000,0.03125000,-0.18750000
1,106,26,1,1,1286188,34,0.00006999,44,314,2,0,4,0,178,628,-0.00291668,149.87500000,0.03125000,-0.18750000
1,106,26,1,1,1286188,35,0.00114360,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,107,27,1,0,1286189,32,0.00276591,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,107,27,1,0,1286189,33,0.00207137,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,107,27,1,0,1286189,34,0.00001862,45,314,2,0,4,0,182,628,0.00486110,149.87500000,0.03125000,-0.18750000
1,107,27,1,1,1286188,35,0.00114114,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,108,28,1,0,1286189,32,0.00412034,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,108,28,1,0,1286189,33,0.00185826,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,108,28,1,1,1286188,35,0.00076808,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,109,29,1,0,1286189,32,0.00299858,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,109,29,1,0,1286189,33,0.00100767,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,109,29,1,0,1286189,34,0.00003716,45,314,2,0,4,0,182,628,0.00486110,149.87500000,0.03125000,-0.18750000
1,109,29,1,1,1286188,35,0.00145388,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,110,30,1,0,1286189,32,0.01328048,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,110,30,1,0,1286189,33,0.00087252,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,110,30,1,1,1286188,35,0.00608701,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,111,31,1,0,1286189,32,0.01087601,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,111,31,1,0,1286189,33,0.00495952,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,111,31,1,0,1286189,34,0.00006536,45,314,2,0,4,0,182,628,0.00486110,149.87500000,0.03125000,-0.18750000
1,111,31,1,1,1286188,34,0.00011638,44,314,2,0,4,0,178,628,-0.00291668,149.87500000,0.03125000,-0.18750000
1,111,31,1,1,1286188,35,0.00622176,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,112,32,1,0,1286189,32,0.01688017,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,112,32,1,0,1286189,33,0.01568487,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,112,32,1,0,1286189,34,0.00180415,45,314,2,0,4,0,182,628,0.00486110,149.87500000,0.03125000,-0.18750000
1,112,32,1,1,1286188,35,0.00860959,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,113,33,1,0,1286189,32,0.01259680,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,113,33,1,0,1286189,33,0.00771783,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,113,33,1,0,1286189,34,0.00027401,45,314,2,0,4,0,182,628,0.00486110,149.87500000,0.03125000,-0.18750000
1,113,33,1,1,1286188,34,0.00006842,44,314,2,0,4,0,178,628,-0.00291668,149.87500000,0.03125000,-0.18750000
1,113,33,1,1,1286188,35,0.01032765,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,114,34,1,0,1286189,32,0.03111616,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,114,34,1,0,1286189,33,0.02014908,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,114,34,1,1,1286188,35,0.00720589,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,115,35,1,0,1286189,32,0.01807932,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,115,35,1,0,1286189,33,0.01397527,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,115,35,1,0,1286189,34,0.00086283,45,314,2,0,4,0,182,628,0.00486110,149.87500000,0.03125000,-0.18750000
1,115,35,1,1,1286188,34,0.00092800,44,314,2,0,4,0,178,628,-0.00291668,149.87500000,0.03125000,-0.18750000
1,115,35,1,1,1286188,35,0.02787410,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,116,36,1,0,1286189,32,0.03707590,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,116,36,1,0,1286189,33,0.01106608,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,116,36,1,1,1286188,35,0.00233310,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,117,37,1,0,1286188,35,0.01806114,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,117,37,1,1,1286189,32,0.02295375,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,117,37,1,1,1286189,33,0.02364597,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,117,37,1,1,1286189,34,0.00005719,45,314,2,0,4,0,182,628,0.00486110,149.87500000,0.03125000,-0.18750000
1,118,38,1,0,1286189,32,0.03809294,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,118,38,1,0,1286189,33,0.01292628,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,118,38,1,0,1286189,34,0.00089982,45,314,2,0,4,0,182,628,0.00486110,149.87500000,0.03125000,-0.18750000
1,118,38,1,1,1286188,34,0.00109777,44,314,2,0,4,0,178,628,-0.00291668,149.87500000,0.03125000,-0.18750000
1,118,38,1,1,1286188,35,0.00645384,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,119,39,1,0,1286189,32,0.04291561,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,119,39,1,0,1286189,33,0.00190169,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,119,39,1,1,1286188,34,0.00127222,44,314,2,0,4,0,178,628,-0.00291668,149.87500000,0.03125000,-0.18750000
1,119,39,1,1,1286188,35,0.01413075,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,120,40,1,0,1286189,32,0.05459346,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,120,40,1,0,1286189,33,0.00711377,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,120,40,1,1,1286188,35,0.00001231,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,121,41,1,0,1286188,34,0.00102510,44,314,2,0,4,0,178,628,-0.00291668,149.87500000,0.03125000,-0.18750000
1,121,41,1,0,1286188,35,0.01237872,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,121,41,1,1,1286189,32,0.04010627,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,121,41,1,1,1286189,33,0.00346178,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,122,42,1,0,1286189,32,0.04139508,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,122,42,1,0,1286189,33,0.01449638,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,122,42,1,0,1286189,34,0.00002281,45,314,2,0,4,0,182,628,0.00486110,149.87500000,0.03125000,-0.18750000
1,122,42,1,1,1286188,35,0.00255688,44,314,3,0,4,0,179,628,-0.00097223,149.87500000,0.03125000,-0.18750000
1,123,43,1,0,1286189,32,0.02127860,45,314,0,0,4,0,180,628,0.00097223,149.87500000,0.03125000,-0.18750000
1,123,43,1,0,1286189,33,0.02448694,45,314,1,0,4,0,181,628,0.00291666,149.87500000,0.03125000,-0.18750000
1,123,43,1,0,1286189,34,0.00284690,45,314,2,0,4,0,182,628,0.00486110,149.87500000,0.03125000,-0.18750000
1,123,43,1,1,1286188,34,0.00044589,44,314,2,0,4,0,178,628,-0.00291668,149.87500000,0.03125000,-0.18750000
